,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
86,0.699,0.0814,104.941,0.0958,0.488,3.6e-06,4,0.773,1,180120,-5.982,0.513,0,audio_features,spotify:track:4BiiOzZCrXEzHRLYcYFiD5
87,0.904,0.064,82.014,0.0618,0.193,0.0,4,0.579,5,190947,-2.729,0.681,1,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom
88,0.578,0.135,145.038,0.04,0.331,0.0,4,0.68,10,231267,-5.804,0.341,1,audio_features,spotify:track:7dt6x5M1jzdTEt8oCbisTK
89,0.672,0.205,127.986,0.0732,0.465,0.0,4,0.76,9,193734,-5.277,0.505,0,audio_features,spotify:track:36wruYZk4V9sWeUzR3rB74
90,0.719,0.306,77.501,0.0372,0.00267,0.0,4,0.557,2,242334,-4.515,0.344,0,audio_features,spotify:track:3aW0ds4A4tSQDIp75FqWTo
91,0.807,0.109,88.991,0.0375,0.312,0.000325,4,0.664,0,314000,-5.542,0.593,1,audio_features,spotify:track:4IKn1t0eZZzF5mji1vraVI
92,0.736,0.0553,149.985,0.0457,0.191,0.0,4,0.714,2,210818,-3.801,0.814,1,audio_features,spotify:track:5GKwq4sO5ZHKuWaDmdwMQc
93,0.782,0.0848,159.661,0.197,0.553,0.0,4,0.422,7,207000,-4.686,0.448,0,audio_features,spotify:track:1DPrXncHEnR0141ct0DF06
94,0.499,0.17,119.894,0.0404,0.459,0.00357,4,0.711,1,226000,-9.584,0.244,1,audio_features,spotify:track:1PGNDa8dIRkOQ6VLvNHRdw
95,0.85,0.412,124.882,0.0694,0.00264,0.0,4,0.657,5,241467,-3.157,0.375,0,audio_features,spotify:track:1qAPA8TooLVEqAZ58fhcrt
96,0.792,0.37,107.96,0.0296,0.0884,0.0,4,0.633,3,235869,-3.202,0.369,1,audio_features,spotify:track:3IktbbAbZqczBDQxCoJOyP
97,0.747,0.219,105.943,0.0323,0.269,0.0,4,0.737,10,192453,-4.818,0.447,1,audio_features,spotify:track:1ZLrDPgR7mvuTco3rQK8Pk
98,0.448,0.106,95.05,0.0232,0.163,0.0,3,0.599,8,263400,-6.312,0.168,1,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v
99,0.769,0.108,170.036,0.0872,0.0183,0.0,4,0.566,7,191100,-4.342,0.385,1,audio_features,spotify:track:5sbooPcNgIE22DwO0VNGUJ
100,0.387,0.0878,83.907,0.0319,0.712,0.0,4,0.527,9,247707,-9.215,0.212,1,audio_features,spotify:track:2RWPiJ1wDnDoqZmPJNHpRC
101,0.302,0.0868,124.978,0.0479,0.684,0.0,3,0.73,6,181460,-11.773,0.48,0,audio_features,spotify:track:4p4SOBQ0fxHYluEcba6Xrq
102,0.758,0.186,97.052,0.108,0.044,0.0,4,0.704,4,197667,-4.393,0.663,0,audio_features,spotify:track:5OepnJhqZoyJN8qWo2LZzy
103,0.701,0.338,130.062,0.0503,0.0397,0.0,4,0.798,1,227077,-4.431,0.187,1,audio_features,spotify:track:6moTM2aGWVzSgNo9vNw9qT
104,0.819,0.125,92.934,0.0541,0.0287,0.0,4,0.556,8,236536,-4.869,0.286,1,audio_features,spotify:track:6nUpdTLUSel3Zp6lhHZRbX
105,0.372,0.169,91.873,0.0432,0.64,0.0,4,0.681,5,201000,-8.237,0.476,1,audio_features,spotify:track:1mXVgsBdtIVeCLJnSnmtdV
106,0.351,0.125,155.859,0.0366,0.767,0.00454,4,0.62,7,227087,-10.342,0.284,1,audio_features,spotify:track:1SCRT8WbB4TdiXwvtzMnpL
107,0.91,0.266,169.982,0.064,0.0846,0.0,4,0.573,8,208238,-1.578,0.602,1,audio_features,spotify:track:5Ek40FyMPprcvtyZDjqylX
108,0.713,0.294,121.993,0.0594,0.04,3.11e-06,4,0.699,9,205920,-5.507,0.354,0,audio_features,spotify:track:2qT1uLXPVPzGgFOx4jtEuo
109,0.717,0.105,100.027,0.0337,0.346,0.0,4,0.638,2,180000,-4.722,0.249,1,audio_features,spotify:track:4VUwkH455At9kENOfzTqmF
110,0.882,0.315,142.025,0.104,0.0234,0.0,4,0.695,1,197789,-2.08,0.947,1,audio_features,spotify:track:7AWtaOSb7cgi16wJr3mkuf
111,0.571,0.0912,105.049,0.0439,0.0558,0.0,4,0.575,1,197947,-7.906,0.449,1,audio_features,spotify:track:4NBTZtAt1F13VvlSKe6KTl
112,0.469,0.106,140.075,0.0587,0.842,0.0,4,0.721,4,281966,-5.721,0.588,0,audio_features,spotify:track:2gjaLwhfyxt96vBhSzeONs
113,0.496,0.252,86.003,0.0905,0.259,0.0,4,0.889,4,180522,-6.365,0.544,0,audio_features,spotify:track:2IRZnDFmlqMuOrYOLnZZyc
114,0.724,0.12,102.061,0.0486,0.0945,1.68e-06,4,0.601,6,207905,-4.856,0.508,1,audio_features,spotify:track:4hQ6UGyWQIGJmHSo0J88JW
115,0.478,0.103,159.951,0.0359,0.0115,0.0,4,0.633,0,150467,-5.571,0.692,1,audio_features,spotify:track:3567eNX2L3RkkMkwspncMH
116,0.88,0.128,95.079,0.0504,0.205,0.0,4,0.626,9,202621,-2.384,0.534,0,audio_features,spotify:track:08bNPGLD8AhKpnnERrAc6G
117,0.644,0.138,136.142,0.0307,0.436,0.048,3,0.548,9,236457,-5.049,0.524,1,audio_features,spotify:track:6haG2qvSSFZFmOYXvBmdx3
118,0.723,0.126,104.969,0.0412,0.0302,2.06e-06,4,0.703,9,198903,-5.45,0.288,0,audio_features,spotify:track:2LskIZrCeLxRvCiGP8gxlh
119,0.49,0.234,134.944,0.0416,0.431,0.0,4,0.715,1,223778,-12.673,0.743,1,audio_features,spotify:track:1oyYuiIundjUzgi0oyBNyB
120,0.491,0.146,140.015,0.0349,0.507,0.014,4,0.537,9,284584,-9.06,0.508,1,audio_features,spotify:track:60hF3gZXQ33xdAXXk6tE1x
121,0.657,0.112,107.01,0.0449,0.171,0.0,4,0.753,7,184732,-3.061,0.437,1,audio_features,spotify:track:09IStsImFySgyp0pIQdqAc
122,0.576,0.195,97.886,0.0893,0.597,7.14e-06,4,0.619,0,206867,-7.367,0.536,1,audio_features,spotify:track:4AsE3bvoh6yuZls617lj4Z
