,Position,Track Name,Artist,Streams,date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
149,150,แชร์ โล มา,Twopee Southside,23507,2019-01-06,0.78,0.117,139.999,0.044,0.00151,0.0,4,0.76,1,211685,-6.8,0.734,1
150,151,รอยยิ้ม,SCRUBB,23378,2019-01-06,0.488,0.15,96.989,0.0258,0.299,1.11e-06,4,0.701,9,258402,-9.948,0.625,1
151,152,In My Blood,Shawn Mendes,23285,2019-01-06,0.712,0.13,140.025,0.066,0.0573,0.0,4,0.622,5,211360,-7.321,0.487,1
152,153,Trampoline,SHAED,23253,2019-01-06,0.412,0.0659,126.754,0.0301,0.488,0.00016,4,0.689,7,184060,-7.523,0.537,0
153,154,WHISTLE - KR Ver.,BLACKPINK,23180,2019-01-06,0.722,0.0935,102.972,0.0945,0.00579,0.0,4,0.827,6,212600,-4.804,0.589,0
154,155,ถ้าหาก,YENTED,23160,2019-01-06,0.434,0.154,100.053,0.209,0.597,2.8e-06,4,0.754,10,234600,-7.907,0.324,1
155,156,Love Someone,Lukas Graham,23128,2019-01-06,0.409,0.11,171.838,0.0505,0.172,0.0,4,0.538,9,205440,-6.581,0.265,0
156,157,when the party's over,Billie Eilish,23105,2019-01-06,0.104,0.0895,124.001,0.0621,0.979,7.86e-05,3,0.498,1,199931,-14.08,0.205,0
157,158,Closer,The Chainsmokers,22994,2019-01-06,0.524,0.111,95.01,0.0338,0.414,0.0,4,0.748,8,244960,-5.599,0.661,1
158,159,SEE U LATER - KR Ver.,BLACKPINK,22987,2019-01-06,0.927,0.579,106.981,0.107,0.0399,0.0,4,0.744,9,198867,-3.973,0.559,0
159,160,เป็นทุกอย่าง,Room 39,22918,2019-01-06,0.777,0.0819,93.017,0.0348,0.386,0.0,4,0.728,2,262437,-4.863,0.702,1
160,161,LATATA,(G)I-DLE,22871,2019-01-06,0.792,0.283,98.1,0.224,0.00427,1.15e-06,4,0.774,9,202773,-4.019,0.505,0
161,162,Attention,Charlie Puth,22858,2019-01-06,0.613,0.134,100.066,0.0542,0.109,2.33e-05,4,0.775,3,208787,-4.586,0.797,0
162,163,Psycho (feat. Ty Dolla $ign),Post Malone,22619,2019-01-06,0.56,0.111,140.06,0.105,0.546,0.0,4,0.75,8,221440,-8.094,0.459,1
163,164,เวลาเธอยิ้ม,Polycat,22606,2019-01-06,0.669,0.178,82.997,0.0419,0.244,0.0,4,0.598,4,227000,-5.506,0.788,1
164,165,IDOL,BTS,22467,2019-01-06,0.857,0.103,126.038,0.0881,0.00219,0.0,4,0.709,9,260234,-3.394,0.446,1
165,166,ยังไม่รู้,Better Weather,22457,2019-01-06,0.577,0.0942,170.078,0.0284,0.193,2.18e-05,4,0.438,3,286227,-6.993,0.172,1
166,167,Power Up,Red Velvet,22333,2019-01-06,0.934,0.306,159.998,0.144,0.0774,0.00745,4,0.732,8,202040,-4.618,0.898,1
167,168,Lil’ Touch,Girls' Generation-Oh!GG,22010,2019-01-06,0.789,0.301,112.11,0.104,0.0114,0.0,4,0.791,11,189846,-4.694,0.669,0
168,169,ครึ่งๆ กลางๆ,Bodyslam,21946,2019-01-06,0.506,0.114,179.109,0.0433,0.485,0.0,4,0.259,7,281612,-6.552,0.187,1
